Customer,Region,Channel,Customer_Type,Orders,AOV,Order_Date,Sales,Profit_Margin,Profit
C004,East, Store ,Regular,4,15015,07-01-2026,60060.0,15.9,9550.0
C020,East, Store ,Regular,15,11761,13-02-2026,176415.0,17.8,31402.0
C015,East,Store,High Value,16,8815,01-02-2026, 125000 ,13.9,19605.0
C047,East,ONLINE,High Value,27,12446,15-04-2026,336042.0,18.4,61832.0
C011,East,Store,High Value,26,15089,23-01-2026,392314.0,15.5,60809.0
C059,North,ONLINE,Regular,9,4292,13-05-2026,185000,25.5,9850.0
C024,West,ONLINE,Regular,25,9005,22-02-2026,225125.0,14.7,
C030,East,ONLINE,High Value,11,12529,08-03-2026,137819.0,20.3,27977.0
C025,North, Store ,Regular,22,5176,24-02-2026,113872.0,10.2,11615.0
C014,South,Store,Regular,6,15124,30-01-2026,90744.0,23.8,21597.0
C023,West,Online,Regular,28,7968,20-02-2026,223104.0,24.0,53545.0
C037,North, Store ,Regular,26,8819,24-03-2026,not available,12.7,29120.0
C018,south,online,High Value,27,15227,08-02-2026,411129.0,29.3,120461.0
C032,North,ONLINE,High Value,9,14369,12-03-2026,129321.0,27.4,35434.0
C041,West, Store ,Regular,10,15375,02-04-2026,153750.0,13.4,20602.0
C066,North,online,High Value,24,6107,29-05-2026,146568.0,15.1,22132.0
C012,West,online ,Regular,28,9665,26-01-2026,270620.0,26.9,72797.0
C044,East,ONLINE,High Value,16,13136,08-04-2026,210176.0,11.1,23330.0
C009,North,ONLINE,High Value,5,6275,19-01-2026,,27.6,8660.0
C002,North,Store,High Value,30,11917,03-01-2026,357510.0,18.3,65424.0
C008,West, Store ,Regular,24,12626,16-01-2026,303024.0,15.3,46363.0
C003,South, Store ,High Value,30,7755,05-01-2026,232650.0,28.6,66538.0
C022,North,online,High Value,22,6151,17-02-2026,135322.0,14.7,19892.0
C046,South,Online,High Value,28,15424,13-04-2026,431872.0,23.6,101922.0
C040,North,online,High Value,18,7266,30-03-2026,130788.0,19.3,25242.0
C050,East,online,Regular,9,4937,22-04-2026,44433.0,23.7,10531.0
C043,NORTH , Store ,Regular,6,9882,06-04-2026,59292.0,15.2,9012.0
C048,East, Store ,High Value,20,10893,18-04-2026,217860.0,17.4,37908.0
C026,North,Store,Regular,29,9809,26-02-2026,284461.0,11.3,32144.0
C058,South,online,Regular,6,5065,10-05-2026,30390.0,22.9,6959.0
C069,East,ONLINE,Regular,25,15634,04-06-2026,390850.0,26.9,105139.0
C033,North, Store ,High Value,9,14021,14-03-2026,126189.0,25.0,31547.0
C031,West,ONLINE,High Value,27,9835,10-03-2026,265545.0,18.7,49657.0
C048,East, Store ,High Value,20,10893,18-04-2026,217860.0,17.4,37908.0
C079,South,Online,High Value,15,12535,27-06-2026,188025.0,18.4,34597.0
C052,,ONLINE,Regular,13,13909,27-04-2026,180817.0,22.9,41407.0
C063,South,online,High Value,13,10820,22-05-2026,140660.0,10.8,15191.0
C055,North,online,Regular,11,9734,04-05-2026,107074.0,25.0,26768.0
C001,West, Store ,Regular,21,14696,01-01-2026,308616.0,26.7,82400.0
C053,West,Store,Regular,16,14319,29-04-2026,229104.0,13.7,31387.0
C010,South, Store ,Regular,19,11038,21-01-2026,209722.0,15.4,32297.0
C029,East, Store ,Regular,9,8704,05-03-2026,78336.0,29.4,23031.0
C027,West,Store,Regular,26,14435,01-03-2026,375310.0,27.1,101709.0
C068,West,Store,Regular,7,6213,02-06-2026,43491.0,25.0,10873.0
C076,North,ONLINE,High Value,6,10437,20-06-2026,62622.0,18.8,11773.0
C016,East,online,Regular,8,14186,04-02-2026,113488.0,11.4,12938.0
C071,West,Online,,24,11854,09-06-2026,284496.0,20.2,57468.0
C013,North,Store,Regular,25,6824,28-01-2026,170600.0,29.8,50839.0
C034,West, Store ,High Value,10,4496,17-03-2026,44960.0,12.2,5485.0
C028,West,ONLINE,Regular,22,5148,03-03-2026,113256.0,22.6,25596.0
C056,West,Online,Regular,18,14569,06-05-2026,262242.0,18.4,48253.0
C077,West,Store,Regular,15,15577,23-06-2026,233655.0,11.2,26169.0
C017,East, Store ,Regular,16,14002,06-02-2026,224032.0,22.7,50855.0
C065,North, store,Regular,19,8805,26-05-2026,167295.0,23.4,39147.0
C054,West,Store,Regular,27,9108,01-05-2026,245916.0,28.2,69348.0
C070,South,Store,Regular,10,13302,07-06-2026,133020.0,27.5,36580.0
C035,South,Online,Regular,20,4969,19-03-2026,99380.0,23.9,23752.0
C072,North,ONLINE,Regular,4,10158,11-06-2026,40632.0,19.3,7842.0
C067,West,Store,High Value,4,5359,31-05-2026,21436.0,28.2,6045.0
C051,South,ONLINE,Regular,12,11196,24-04-2026,134352.0,12.3,16525.0
C007,West, Store ,Regular,12,12167,14-01-2026,146004.0,23.8,34749.0
C019,West,online,Regular,24,6491,11-02-2026,155784.0,29.3,45645.0
C038,West,Online,High Value,18,11723,26-03-2026,211014.0,19.4,40937.0
C039,South,online,Regular,8,11346,28-03-2026,90768.0,16.8,15249.0
C006, South ,Store,Regular,5,9395,12-01-2026,46975.0,24.3,11415.0
C042,South,online,Regular,17,10280,04-04-2026,174760.0,18.0,31457.0
C013,North,Store,Regular,25,6824,28-01-2026,170600.0,29.8,50839.0
C021,North, Store ,Regular,21,14202,15-02-2026,298242.0,28.2,84104.0
C060,North,Online,Regular,26,4424,15-05-2026,115024.0,19.5,22430.0
C078,North, Store ,Regular,19,14734,25-06-2026,279946.0,29.1,81464.0
C062,West, Store ,Regular,18,13570,19-05-2026,244260.0,21.2,51783.0
C045,North,ONLINE,High Value,26,13674,11-04-2026,355524.0,18.0,63994.0
C064,North,ONLINE,Regular,7,9974,24-05-2026,69818.0,24.9,17385.0
C073,South,Store,Regular,24,6707,14-06-2026,160968.0,28.0,45071.0
C075,West, Store ,Regular,25,14604,18-06-2026,365100.0,22.2,81052.0
C061,East,online,Regular,21,6828,17-05-2026,143388.0,19.0,27244.0
C036,North,ONLINE,Regular,14,15099,21-03-2026,211386.0,27.8,58765.0
C049,North,Store,Regular,18,7779,20-04-2026,140022.0,20.6,28845.0
C005,West, Store ,High Value,15,10270,10-01-2026,154050.0,23.5,36202.0
C057,North,ONLINE,High Value,10,11017,08-05-2026,110170.0,21.2,23356.0
C080,North,Store,Regular,8,9701,30-06-2026,77608.0,21.4,16608.0
C074,West,ONLINE,High Value,5,10322,16-06-2026,51610.0,15.9,8206.0
